id,artists,title,mix,label,genres,main_key,confidence,time1,change1,time2,change2,comments
66070,Scooter,Hello! (Good To Be Back),Club Mix,Sheffield Tunes,Trance,D minor,2,,,,,
68370,Blake,What feat. Liza,Original Mix,Ocean Dark,Electro House,D minor,2,,,,,
69040,Maertini Broes,W.T.U.S.,Original Mix,Poker Flat Recordings,Electro House,C# minor,2,,,,,
74680,"Jimmy Van M, Brancaccio & Aisher",Sanctuary,Brancaccio & Aisher Remix,Bedrock Records,Progressive House,A minor,2,,,,,
76914,Alex Gold,Energy Bomb feat. Kelly Morris,Original Mix,Xtravaganza,Breaks,G minor,2,,,,,
77806,"Swirl People, Jonene, Touchdown",Fears,Jonene & Touchdown Mix,Tronicsole,Deep House,F minor,2,,,,,
80643,Delon & Dalcan,Panik,Original Mix,Boxer Recordings,Tech House,G minor | G major,1,,,,,"Key tone is clearly G, but mode seems to be between minor and major at 50%. Modally ambiguous."
84098,Benny Blanko,Put Your Hands feat. Pedro Polanski,Original Mix,Playhouse,Deep House,C minor,2,,,,,
84522,"Dwight Trible, The Life Force Trio",Antiquity feat. J Dilla,Original Mix,Ninja Tune,Hip-Hop / R&B,F minor,2,,,,,
90839,Alternate Vision,Out Of The Loop,Original Mix,Spun Records,Trance,D minor,2,,,,,
95799,Deepgroove,Fascinated,Vocal Dub,UMM (UK) Underground Music Movement,House,C# minor,2,,,,,
99805,Silencer,Drown In Me feat. Berwitz,Silencer Beats Mix,Critical Mass Recordings,Breaks,G# minor,2,,,,,
99806,"Silencer, Force Mass Motion",Drown In Me feat. Berwitz,Force Mass Motions Stadium JKT Mix,Critical Mass Recordings,Progressive House,G# minor,2,,,,,
100066,Lindstrom,Monsteer,Original Mix,Dialect Recordings,Electronica / Downtempo,D minor,2,,,,,
103857,"Hatstandy Andy, Dysfunktional",Emerge And See,Dysfunktional Mix,Xeton Records,Breaks,E major,2,,,,,
108844,"Jason Sparks, Si Begg",Gangsters,Si Begg Remix,Botchit & Scarper,Breaks,X,0,,,,,
110504,Musica Charlista,Juan Y Alex,Original Mix,Apnea,Minimal,D# minor,2,,,,,
119077,Doctor Rockit,Cafe De Flore,Original Mix,Accidental,Electronica / Downtempo,C# minor | E major,2,,,,,"50% between C# minor and E major. Bimodal, although clearly C#m."
119467,TTC,Catalogue,Instrumental,Big Dada,Hip-Hop / R&B,D# minor,2,,,,,
125918,Leafcutter John,In the Morning,Original Mix,Staubgold,Electronica / Downtempo,G major,2,,,,,
131427,"K. Wild, DJ Funsko",Can't Stop Me Now,DJ Funsko's Tribal House Dub Remix,Total Wipes,House,A minor,2,,,,,
132143,"Snake Sedrick, Emze Hack, Eelke Kleijn",The Beginning,Eelke Kleijn Ambient Mix,Tilth Music,Progressive House,C# minor,2,,,,,
134948,"Xerox, Illumination",Paranoia,Original Mix,Crystal Matrix,Psy-Trance,C minor,2,,,,,
135302,Smoke Chamberlain,Nikki,Original Mix,Profit Records,Hip-Hop / R&B,C minor,2,,,,,
138819,Amon Tobin,Escape,Original Mix,Ninja Tune,Drum & Bass,B major | B minor,1,,,,,Sounds inharmonicity make key discrimination difficult. Major or minor mode distinction is not clear. Modally ambiguous.
139755,Funki Porcini,Back Home,Original Mix,Ninja Tune,Electronica / Downtempo,G major,2,,,,,
144851,JDS,Blackout,Original Mix,TCR (Thursday Club Recordings),Breaks,B major,2,,,,,
150864,Kluster,Lava,Original Mix,Digital Psionics,Psy-Trance,F minor,2,,,,,
155879,Headman,Moisture,Headman Club Mix,Gomma,Electronica / Downtempo,D minor,2,,,,,
159301,Freq,Beatstreet,Original Mix,Iboga Records,Psy-Trance,B minor,2,,,,,
167955,Hawke (aka Gavin Hardkiss),Fly Fly Fly Away,Original Mix,Eighth Dimension Records,Electronica / Downtempo,E major,2,,,,,
168304,Sam Rouanet,Tsuno,Original Mix,S'hort Records,Tech House,F minor,1,,,,,
168450,Mumbo Jumbo,Mirage,Original Mix,Turbo Trance,Psy-Trance,F# minor,2,,,,,
174074,Boards Of Canada,Satellite Anthem Icarus,Original Mix,Warp Records,Electronica / Downtempo,C# major,2,,,,,
175197,Wild Planet,15 Love,Original Mix,Warp Records,Techno,E major,1,,,,,
178137,Phantom Ghost,Born With A Nervous Breakdown,Rework breakdown mix,Ladomat 2000,Tech House,E minor,2,,,,,
1389267,Cell Auto Mata,Ign558,Original Mix,Ant-Zen,Electronica / Downtempo,E major,1,,G# minor,,,"First half of track key is E major, and second half key is G# minor. Key changes."
180779,DJ Trajic,Underground,Original Mix,Nemek Music,Hard Dance,X,0,,,,,
180831,"Mapstation, Ras Donovan",Uncentral,Original Mix,Staubgold,Electronica / Downtempo,E major,2,,,,,
181659,Laurent Garnier,Flashback,Video Mix,F Communications,Techno,F# major,2,,,,,
188000,Bent Sentient,Suffocation Dividend,Original Mix,Nano Records,Psy-Trance,E minor,2,,,,,
188616,Shane Philips,The Right Time,Original Mix,Mile End Records,Electronica / Downtempo,C minor,2,,,,,
189045,"The Havana Boys, Fellmann & Louise",You're My Honey,Fellmann & Louise Remix,MuschiTunes,Electronica / Downtempo,G major,1,,,,,
189424,Qwel,Ruby Ragdollenne,Live,Galapagos4,Hip-Hop / R&B,D major,2,,,,,
190162,The Amalgamation Of Soundz,Latmo,Original Mix,Airtight,Deep House,D major,2,,,,,
190288,Central Avenue,For Only You feat. Ov,Hard Mix Vocal Latin Mix,Delecto Recordings,House,A# minor,2,,,,,
193072,"Echotek, La Baaz",Away,La Baaz Remix,Flow Records,Psy-Trance,C minor,2,,,,,
196477,Two Lone Swordsmen,Spin Desire,Original Mix,Rotters Golf Club,Techno,C# minor,2,,,,,
197434,Monoder,Song,Original Mix,Pakkas Levyt,Minimal,D major,2,,,,,
200573,"M.I.K.E., Valentino Kanzyani",Salvation,Valentino Kanzyani JLY Remix,Club Elite (Armada),Trance,C# minor,2,,,,,
200766,Zwo!,Oxigen,Original Mix,Dpress Industries,Tech House,D minor,1,,,,,
203541,Drumsound & Bassline Smith,Dub Track,Original Mix,Technique Recordings,Drum & Bass,C# major,1,,,,,
206180,Rouge Rouge,Oui,Original Mix,Pschent Music,Electronica / Downtempo,G minor,2,,,,,
206648,"Trick & Kubic, Constantine",Easy,Constantines Sunday Morning Deep Out Remix,Pool E Music,House,A major,2,,,,,
209357,DJ Zinc,Toothbrush,Remix,True Playaz,Drum & Bass,F# minor,0,,,,,
209475,Burn In Noise,New Computer,Original Mix,Kagdila Records,Psy-Trance,D minor,2,,,,,
217855,DJ Dijital,Jit Wit It,Original Mix,Twilight 76,Electronica / Downtempo,D minor,2,,,,,
218890,Cyne,Growing,Instrumental,City Centre Offices,Hip-Hop / R&B,D major,2,,,,,
218955,Lali Puna,Everywhere And Allover,Original Mix,Morr Music,Electronica / Downtempo,D major,2,,,,,
219078,Donato Wharton,Collision Stills,Original Mix,City Centre Offices,Electronica / Downtempo,D major,2,,,,,
221206,Ndru,Klang Sayang,Original Mix,Perspectiv Records,Minimal,G major,2,,,,,
224078,Kimar,Keep The Groove,Original Mix,Open Bar Music,House,C minor,2,,,,,
224256,Fractal Glider,Tabla Trek,Original Mix,Boom! Records,Psy-Trance,G# major,2,,,,,
225388,"Morgan Caney, Kamal Joory",3000 Miles,Original Mix,City Centre Offices,Electronica / Downtempo,G major,2,,,,,
226990,"Temperance, Mystah Munroe, The Polarbabies",My Sentiments Exactly,Polarbabies Mix,Hi-Bias Records,Funky / Groove / Jackin' House,D major,2,,,,,
239698,"CCK, Commercial Club Crew",Close To Me,Commercial Club Crew Remix,Andorfine Records,Hard Dance,B minor,2,,,,,
239972,Phunk Foundation,Let It Go,Club Radio Edit,Andorfine Records,Hard Dance,A# major,2,,,,,
245736,Dark Machines,Dark Machines,Original Mix,Elektrotribe Records,Drum & Bass,D major,2,,,,,
246613,"Dieter Krause, Deepak Sharma",Blow,Original Mix,Hidden Recordings,Tech House,E major,1,,,,,
251655,Silver,Angry & Bitter,Original Mix,Avalanche Recordings,Drum & Bass,G minor,2,,,,,
255261,"Rektchordz, Pete Voyager",Street Slut,Pete Voyager Remix,Bombtraxx Records,Breaks,E minor,2,,,,,
255895,GusGus,Moss feat. Daniel Agust,Original Mix,Pineapple Records,Electro House,D# minor,2,,,,,
257025,Ed Royal,Gravity,Organic Funk Remix,Innvision Records,Breaks,E minor,2,,,,,
269382,Vision & Canedy,Aeroplane,Original Mix,Hadshot Haheizar,Progressive House,F# minor,2,,,,,
273439,Sound Field,Psychedelic Revival,Original Mix,Oxygen Records (Ingrooves),Psy-Trance,F minor,2,,,,,
273553,740 Boyz,Party Over Here,Boyz Party Bonus,Cutting Records,House,F minor,2,,,,,
277229,Orlando Vaughan,Better Than Never,Original Mix,Duffnote Recordings,House,A# minor,2,,,,,
277874,Jason Nawty,Ripped,Original Mix,12 Inch Thumpers,Hard Dance,C major,1,,,,,
282105,DJ Jaromir,Cosmic Collision,Original Mix,Royal Tek Records,Trance,G minor,2,,,,,
283467,"Funky Junction, Antony Reale, Erasmo",I Believe In Love feat. Carl McDonald,Instrumental Mix,Sheeva Records,House,A minor,2,,,,,
287952,SL2,On A Ragga Tip â€˜97,Original Mix,XL Recordings,Breaks,A minor,2,,,,,
289631,"Italian Rockaz, Avoya, Lil M",Il Mio Amore,Original Club Mix,Balloon Records,Hard Dance,G major,2,,,,,
290580,Plastikfunk,Let Me See Your Hands,Original Mix,Embassy One,Electro House,A# minor,2,,,,,
291094,"Carlos Mendes, Willy De Loren, Jacoby, Carlos Mendes",Malibu,Quiet Running Mix,Disko Massaka,Tech House,D major,2,,,,,
292281,Alias,Divine Disappointment,Original Mix,Anticon,Hip-Hop / R&B,C# minor,2,,,,,
292564,Sole,Atheist Jihad,Original Mix,Anticon,Hip-Hop / R&B,D major,2,,,,,
292730,Locomotive,Way Out Here,Original Mix,Ruff Recordings,Breaks,B minor,2,,,,,
293203,Bloquera,Fiesta,Instrumental Mix,Tres Records,Hip-Hop / R&B,D major,2,,,,,
297002,"System Nipel, Visual Contact, Cosmic Tone",Lift Me Up,Cosmic Tone Remix,Com.Pact Records,Psy-Trance,F minor,2,,,,,
297010,The Sidewinder,Skit 1,Original Mix,Soma Records,Electronica / Downtempo,C minor,2,,,,,
4265141,"Robin Schulz, Delia Ros",Stone,Delia Ros Remix,Trick Track Records,Deep House,B minor,1,,G# minor,,,There are modulations to G# minor. Key changes.
297012,The Sidewinder,Stanway's Revenge,Jimpster Mix,Soma Records,Electronica / Downtempo,A# minor,2,,,,,
297013,Daniel Ibbotson,Stumble,John Tejada Mix,Soma Records,Electronica / Downtempo,G minor,2,,,,,
297025,Percy X,Club X,Original Mix,Soma Records,Techno,D minor,2,,,,,
297030,Percy X,Vox Digital,Original Mix,Soma Records,Techno,B minor,2,,,,,
297057,Slam,Virtuoso,Funk D'voids Boutaka Mix,Soma Records,Techno,C# minor,2,,,,,
297059,Slam,Alien Radio,Tony Thomas Mix,Soma Records,Techno,D minor | F major,1,,,,,"Ambiguity is caused by total polarization between two tonal centres, D and F. Anyway, it seems to be D minor. Bimodal, ocasional blue note (ab)."
297065,Slam,Alien Radio,Darren Emerson Mix,Soma Records,Techno,D minor | F major,1,,,,,"Ambiguity is caused by total polarization between two tonal centres, D and F. Anyway, it seems to be D minor. Bimodal."
297067,Slam,Positive Education,Carl Cox In Tec Mix,Soma Records,Tech House,E minor,2,,,,,
297071,Alex Dias,Reflex,Original Mix,The B Side Records,Tech House,G# major mixolydian-b6,2,,,,,"Mixolydian mode and, in addition, VI degree is lowered"
297113,Jonas Bering,Take My Hand,Original Mix,Kupei Musika,Deep House,F major,2,,,,,
297114,Kate Simko,Cityscape,Original Mix,Kupei Musika,Deep House,F minor,1,,,,,
297115,"Jonas Bering, Kate Simko",Take My Hand,Kate Simko Remix,Kupei Musika,Deep House,X,0,,,,,
297116,"Kate Simko, Jonas Bering",Cityscape,Jonas Bering Remix,Kupei Musika,Deep House,F minor,1,,,,,
297125,Christian Zimmerman,The Diary Of A Lost Girl,World Of Apples Mojave Rehab Mix,Soma Records,Electronica / Downtempo,G minor,2,,,,,
297129,Yoshinori Sunahara,Love Beat,World Of Apples Mix,Soma Records,Electronica / Downtempo,D major,2,,,,,
297131,Maas,"Look At Me Now, Falling",Zoyd and Prairie Mix,Soma Records,Electronica / Downtempo,B major,2,,,,,
297150,Alert,Casual Tease,Original Mix,Oblivion Fringe,Minimal,A other | Bb other,0,,,,,"Other, highly ambiguous semitone. Example a-bb. B2."
297161,"Liquid Soul, Atmos",The Source,Atmos Remix,Iboga Records,Trance,G minor,2,,,,,
297162,Liquid Soul,Freeway,Original Mix,Iboga Records,Trance,A minor,2,,,,,
297188,"Holmes Ives, Jette Kelly","Wicked Game feat. Jette Kelly, Holmes Ives, Matt Lewis",Original Mix,OVA,Electronica / Downtempo,B minor,2,,,,,
297191,"Holmes Ives, Jette Kelly","Ultimately, Darling feat. Jette Kelly, Holmes Ives",Original Mix,OVA,Electronica / Downtempo,D# minor,2,,,,,
297193,"Holmes Ives, Jette Kelly","A Priori feat. Jette Kelly, Holmes Ives, Matt Lewis",Original Mix,OVA,Electronica / Downtempo,A minor,2,,,,,
297204,Vibe Tribe,Kick The Bass,Original Mix,Noga Records,Trance,A minor,2,,,,,
297206,"Analog Pussy, Indra, Gataka",Sound Of Soul,Gataka Vs. Indra Remix,Noga Records,Trance,F minor,2,,,,,
297218,Santerna,Flexibility,Original Mix,Bonzai Back Catalog,Trance,F# minor,2,,,,,
297252,Justin Bond,Funnyman,Original Mix,Plush,Electro House,E major | E minor,1,,,,,"Major or minor mode is ambiguous. Modally ambiguous, tritone."
297253,Justin Bond,Atweel,Original Mix,Plush,Electro House,A major,2,,,,,
297261,"Anime Toonz, John Creamer & Stephane K",Every Heart  (Minna No Kimochi) feat. Kristina Sa,Gomi Vocal Club Mix,Fuego Recordings,Progressive House,D minor,2,,,,,
297264,"Anime Toonz, DJ Gomi",Every Heart  (Minna No Kimochi) feat. Kristina Sa,Gomi Vocal Dub Mix,Fuego Recordings,Progressive House,D minor,2,,,,,
297266,Quantum,Forplay,Original Mix,Planet B.E.N. Records,Psy-Trance,F minor,2,,,,,
297268,Quantum,Power Chip,Original Mix,Planet B.E.N. Records,Psy-Trance,G minor,2,,,,,
297269,"Quantum, Keren Porat",Janata Express,Original Mix,Planet B.E.N. Records,Psy-Trance,F minor,2,,,,,
4328336,KillBoy,It's Time For Trap,Original Mix,Homebrew Computer Club,Hip-Hop / R&B,A# minor,2,12:30:00 AM,G# minor,,,Key changes.
297272,"Firewall, Quantum",2 Get U,Original Mix,Planet B.E.N. Records,Psy-Trance,B minor,1,,,,,
297273,Quantum,Schoss,Original Mix,Planet B.E.N. Records,Psy-Trance,G minor,1,,,,,
297278,Someone Else,Pooty Call,Original Mix,Foundsound Records,Minimal,C minor,0,,,,,
297280,Someone Else,Curly Mouth,Original Mix,Foundsound Records,Minimal,X,0,,,,,
297281,Someone Else,Funky Fromage,Original Mix,Foundsound Records,Minimal,F# minor,2,,,,,
297286,Someone Else,Family Unties,Original Mix,Foundsound Records,Minimal,G minor,2,,,,,
297287,Someone Else,Oh Sean,Original Mix,Foundsound Records,Minimal,G minor,2,,,,,
297319,Blu Cianfano,Cianfy's Bossa,Latin Concepts Dub Mix,Sheeva Records,House,B minor,1,,,,,
297320,Blu Cianfano,Cianfy's Bossa,Main latin Concept,Sheeva Records,House,C# minor,1,,,,,
297330,Robbie Rivera,The Shout,Original Mix,24seven,House,X,0,,,,,"From 0:00 to 1.15, it seems to be D ? (unknown mode); and then from 1:16 it looks like G# or A ? (unknown mode)"
297332,"Robbie Rivera, Marco V",The Shout,Marco V Reconstruction Mix,24seven,House,X,0,,,,,"From 0:00 to 1.15, it seems to be D ? (unknown mode); and then from 1:16 it looks like G# or A ? (unknown mode)"
297334,Matthew Dear,Deserter,Original Mix,Ghostly International,Electronica / Downtempo,F# major,2,,,,,
297335,"Matthew Dear, Four Tet",Deserter,Four Tet Remix,Ghostly International,Electronica / Downtempo,F# major,2,,,,,
297336,"Matthew Dear, Four Tet",Deserter,Four Tet Remix Instrumental,Ghostly International,Electronica / Downtempo,F# major,2,,,,,
297346,Savannah Joe,This Is X,Savannah's Club Mix,Fuego Recordings,Hard Dance,G major,2,,,,,
297347,Savannah Joe,This Is X,Savannah's NYC Mix,Fuego Recordings,Hard Dance,G major,2,,,,,
297349,"Plasmic Honey, Sal Basile, Christian Gambella",The Funeral,Dub Mix,Fuego Recordings,Hard Dance,E minor,2,,,,,
297355,Jay Epoch,Mulholland,Continuous DJ Mix,Proton Music,Progressive House,B minor,2,,,,,
297356,"Brutal Bill, Brutal Bill Marquez",It's Party Time,Brutal Bill's Hard Synth Mix,Fuego Recordings,Trance,F major,2,,,,,
297360,"Alex Baskin, Leo Baskin, DJ Mutt, Artie Cabrera", (I Want You To) Move,Uplifting Mix,Fuego Recordings,Trance,F minor,2,,,,,
297378,"Kino Oko, La Baaz",The Day To Die,La Baaz Remix,Cold Groove Records,Progressive House,G major | G minor,1,,,,,"It is not totally clear if the mode is major or minor, anyway it looks like major. Modally ambiguous."
297379,"FM Radio Gods, FM Radio Gods",The Day To Die,FM Radio Gods Remix,Cold Groove Records,Electro House,A# minor,2,,,,,
297409,Kato,Gone Is Love,Original Mix,Clubland Records,Electronica / Downtempo,G minor,2,,,,,
297410,Paul Harlyn,Room 3,Original Mix,Clubland Records,Electronica / Downtempo,G major,2,,,,,
297411,Up On The Hill,I Don't Need,Original Mix,Clubland Records,Electronica / Downtempo,F# minor,2,,,,,
297413,"Oliver Backens, Stefan Gruenwald, Ingo Herrmann",Alive,Ingo Herrmann Chillout Mix,Clubland Records,Electronica / Downtempo,D# major mixolydian,2,,,,,
297415,"Richter, Niestolik",Es Ibiza,Original Mix,Clubland Records,Electronica / Downtempo,C major,2,,,,,
297417,Electric Moonlight,Celebrating Love,Original Mix,Clubland Records,Electronica / Downtempo,E minor,1,,,,,
297418,Carpatica,Summerday,Original Mix,Clubland Records,Electronica / Downtempo,C major,2,,,,,
297422,Extranova,Dark Clouds Over Paradise,Original Mix,Clubland Records,Electronica / Downtempo,F major,2,,,,,
297424,Magma,Iridium Flares,Original Mix,Clubland Records,Electronica / Downtempo,C major,2,,,,,
297473,"Gorge, Greg Silver",Fuck It,Club Mix,Alphabet City,Electro House,G# minor,1,,,,,
297474,Sven Van Hees,Across The Delta,Original Mix,Your Lips,Electronica / Downtempo,B major,2,,,,,
297485,"Manolo Mendez, Mennow",Rock,Original Mix,Big Boss Records,Electro House,C minor,1,,,,,
297488,Jeremy,Soul Kicks,Original Mix,Tronic Soundz,Deep House,F major,2,,,,,
297491,G.Pal,Where Do We Go Now,Original Mix,Tronic Soundz,House,F minor,2,,,,,
297494,Future Funk,Switch Lock,Original Mix,Tronic Soundz,Tech House,E minor,2,,,,,
297501,Jeff Bennett,Hovering,Original Mix,Tronic Soundz,Tech House,F minor,2,,,,,
297506,Forteba,Iâ€™ll Never Die,Original Mix,Tronic Soundz,Tech House,B minor,2,,,,,
297513,DJ Glenn B,How Bizarre,Main Mix,Big Boss Records,House,C major mixolydian,2,,,,,
297517,Touane,Morso,Original Mix,Persona,Minimal,D# minor,1,,,,,
297521,Digital Minds,Be Yourself,Original Mix,Tango Recordings,House,F minor,2,,,,,Mixolydian mode and… blues scale?
4572120,Zoomorfos,Acid Rain,Original Mix,Digital Drugs Coalition,Psy-Trance,B major,2,,G# minor,,,There are modulations to G# minor. Key changes.
297535,"Goldfish Und Der Dulz, Daso",Closer,Daso Mix,Boxer Recordings,Techno,D# minor,2,,,,,
297536,Dandi & Ugo,Kutoffen,Original Mix,Stereo Seven Plus,Techno,C minor,2,,,,,
297538,Lex M,G4 Island,Original Mix,SK Recordings,Techno,C minor,2,,,,,
297541,Mecanique,Silverface,Original Mix,District of Corruption,Techno,X,1,01:26:00 AM,D# minor,,,"Impossible to identify anything until 1:26, from 1:26 D# minor can be really weakly iterated"
297542,Mecanique,Inertia,Original Mix,District of Corruption,Techno,F minor,2,,,,,
297575,Joachim J.,Genesis,Original Mix,Doctormusik Records,Progressive House,F other | E other,0,,,,,"Both keys are completely clear, E minor and F minor, they alternate each other continuously inside the track and 50% confusion in key result is unavoidable, semitonal. Other. b2."
297579,Kelly Holiday,Moscow Time,Electro Mix,Doctormusik Records,Electro House,A minor,2,,,,,
297580,Kelly Holiday,Moscow Time,Minimal Mix,Doctormusik Records,Electro House,D minor,2,,,,,
297598,Funk Revenge,White 2005,Original Mix,Eklero Records,Deep House,G# minor,1,,,,,Blues scale? It also sounds a little bit like B major…
297600,Funk Revenge,Astral Ohm,Original Mix,Eklero Records,House,E minor,2,,,,,
297604,Existone,Aveo,Original Mix,Emotive Sounds,Trance,G minor,1,,,,,"Confusion between G minor and A major… it can be a minor scale with a lydian approach (minor scale with IV degree rised, or lydian scale but minor instead of major)"
297608,Axwell,I Found U,Classic Mix,Axtone Records,Funky / Groove / Jackin' House,A major,2,,,,,
297615,Neptuner,This Dream,Original Mix,Helios Recordings,Electro House,A minor,2,,,,,
297616,"Neptuner, Neptuner",This Dream,Neptuner Remix,Helios Recordings,Electro House,A minor,2,,,,,
297617,"Neptuner, Mario Chris",This Dream,Mario Chris Remix,Helios Recordings,Electro House,A minor,2,,,,,
297620,Espresso Del Lago,Falling Man,Original Mix,Elektrolux,Electronica / Downtempo,D minor | F major,2,,,,,"Confusion between D minor and F major can be generated by the insistence on the use of the Dmin7 chord, but there is no doubt that key is D minor. Bimodal."
297627,Espresso Del Lago,Cinquo Dias,Original Mix,Elektrolux,Electronica / Downtempo,F minor,2,,,,,
297637,D_Bug,Emulador,Original Mix,Eintakt Records,Minimal,X,0,,,,,
297641,Kong,Ley De Rodman,Original Mix,Eintakt Records,Minimal,D minor,1,,,,,
